Ticker, Price ,Annual Dividend,Annual Yield
UNUM GROUP (XNYS:UNM),$32.56,$1.20,3.68%
"LEGGETT & PLATT, INCORPORATED (XNYS:LEG)",$34.51,$1.76,4.49%
ABBVIE INC. (XNYS:ABBV),$138.28,$5.64,4.05%
NORTHWEST NATURAL HOLDING COMPANY (XNYS:NWN),$51.69,$1.93,3.68%
"UNITED BANKSHARES, INC. (XNAS:UBSI)",$34.10,not found,not found
"CARDINAL HEALTH, INC. (XNYS:CAH)",$50.70,$1.98,3.88%
"WALGREENS BOOTS ALLIANCE, INC. (XNAS:WBA)",$39.32,$1.91,4.86%
"COMMUNITY TRUST BANCORP, INC. (XNAS:CTBI)",$39.51,not found,not found
BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),$73.65,$2.16,2.97%
"FRANKLIN RESOURCES, INC. (XNYS:BEN)",$23.31,$1.16,4.72%
BLACK HILLS CORPORATION (XNYS:BKH),$66.81,$2.38,3.25%
"SK TELECOM CO.,LTD (XNYS:SKM)",$22.25,not found,not found
3M COMPANY (XNYS:MMM),$129.84,$5.96,4.55%
SONOCO PRODUCTS COMPANY (XNYS:SON),$52.15,not found,not found
"METLIFE, INC. (XNYS:MET)",$60.87,$2.00,3.02%
UGI CORPORATION (XNYS:UGI),$37.65,$1.44,3.23%
ARROW FINANCIAL CORPORATION (XNAS:AROW),$31.41,not found,not found
"MDU RESOURCES GROUP, INC. (XNYS:MDU)",$26.03,$0.87,3.17%
THE COCA-COLA COMPANY (XNYS:KO),$59.46,$1.76,2.95%
NATIONAL FUEL GAS COMPANY (XNYS:NFG),$65.44,$1.82,2.45%
V.F. CORPORATION (XNYS:VFC),$45.70,$2.00,4.23%
"Best Buy Co., Inc. (XNYS:BBY)",$70.51,$3.52,4.91%
AFLAC INCORPORATED (XNYS:AFL),$53.05,$1.60,3.02%
TOMPKINS FINANCIAL CORPORATION (XNYS:TMP),$69.75,not found,not found
ATMOS ENERGY CORPORATION (XNYS:ATO),$103.51,$2.72,2.34%
1ST SOURCE CORPORATION (XNAS:SRCE),$44.71,not found,not found
Fresenius Medical Care AG & Co KGaA (XNYS:FMS),$25.81,$0.71,2.65%
Bank Ozk (XNAS:OZK),$35.93,not found,not found
JOHNSON & JOHNSON (XNYS:JNJ),$169.30,$4.52,2.66%
"JOHN WILEY & SONS, INC. (XNYS:WLY)",$46.75,$1.38,2.99%
WHIRLPOOL CORPORATION (XNYS:WHR),$151.25,$7.00,4.75%
MATTHEWS INTERNATIONAL CORPORATION (XNAS:MATW),$27.94,not found,not found
SYSCO CORPORATION (XNYS:SYY),$78.77,$1.96,2.43%
MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),$88.22,$2.72,3.11%
GENUINE PARTS COMPANY (XNYS:GPC),$127.22,$3.58,2.79%
Polaris Inc. (XNYS:PII),$97.54,$2.56,2.64%
FIRST FINANCIAL CORPORATION (XNAS:THFF),$43.85,not found,not found
GENERAL DYNAMICS CORPORATION (XNYS:GD),$209.78,$5.04,2.24%
