Ticker, Price , Annual Dividend ,Dividend Yield
UNUM GROUP (XNYS:UNM),$32.56,,
"LEGGETT & PLATT, INCORPORATED (XNYS:LEG)",$34.51,,
ABBVIE INC. (XNYS:ABBV),$138.28,,
NORTHWEST NATURAL HOLDING COMPANY (XNYS:NWN),$51.69,,
"UNITED BANKSHARES, INC. (XNAS:UBSI)",$34.10,,
"CARDINAL HEALTH, INC. (XNYS:CAH)",$50.70,,
"WALGREENS BOOTS ALLIANCE, INC. (XNAS:WBA)",$39.32,,
"COMMUNITY TRUST BANCORP, INC. (XNAS:CTBI)",$39.51,,
BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),$73.65,,
"FRANKLIN RESOURCES, INC. (XNYS:BEN)",$23.31,,
BLACK HILLS CORPORATION (XNYS:BKH),$66.81,,
"SK TELECOM CO.,LTD (XNYS:SKM)",$22.25,,
3M COMPANY (XNYS:MMM),$129.84,,
SONOCO PRODUCTS COMPANY (XNYS:SON),$52.15,,
"METLIFE, INC. (XNYS:MET)",$60.87,,
UGI CORPORATION (XNYS:UGI),$37.65,,
ARROW FINANCIAL CORPORATION (XNAS:AROW),$31.41,,
"MDU RESOURCES GROUP, INC. (XNYS:MDU)",$26.03,,
THE COCA-COLA COMPANY (XNYS:KO),$59.46,,
NATIONAL FUEL GAS COMPANY (XNYS:NFG),$65.44,,
V.F. CORPORATION (XNYS:VFC),$45.70,,
"Best Buy Co., Inc. (XNYS:BBY)",$70.51,,
AFLAC INCORPORATED (XNYS:AFL),$53.05,,
TOMPKINS FINANCIAL CORPORATION (XNYS:TMP),$69.75,,
ATMOS ENERGY CORPORATION (XNYS:ATO),$103.51,,
1ST SOURCE CORPORATION (XNAS:SRCE),$44.71,,
Fresenius Medical Care AG & Co KGaA (XNYS:FMS),$25.81,,
Bank Ozk (XNAS:OZK),$35.93,,
JOHNSON & JOHNSON (XNYS:JNJ),$169.30,,
"JOHN WILEY & SONS, INC. (XNYS:WLY)",$46.75,,
WHIRLPOOL CORPORATION (XNYS:WHR),$151.25,,
MATTHEWS INTERNATIONAL CORPORATION (XNAS:MATW),$27.94,,
